country,country_long,name,gppd_idnr,capacity_mw,latitude,longitude,fuel1,fuel2,fuel3,commissioning_year,owner,source,url,geolocation_source,year_of_capacity_data,generation_gwh_2013,generation_gwh_2014,generation_gwh_2015,generation_gwh_2016,estimated_generation_gwh
AUT,Austria,KW Kühtai,WRI1005910,289,47.2078,11.0057,Hydro,,,1981,TIWAGTiroler Wasserkraft AG,Open Power System Data,http://data.open-power-system-data.org/,Open Power System Data,,,,,118.791,1428.037
AUT,Austria,KW Silz,WRI1005914,500,47.2696,10.9678,Hydro,,,1981,TIWAGTiroler Wasserkraft AG,Open Power System Data,http://data.open-power-system-data.org/,Open Power System Data,,,,,128.53,2470.652
EGY,Egypt,North Giza,WRI1000074,2250,30.2483,30.9471,Gas,,,2014,Unknown,Egyptian Electricity Holding Company,http://www.moee.gov.eg/english_new/report.aspx,GEODB,,,,,133,14591.114
DEU,Germany,Wedel,WRI1006130,260,53.567,9.7244,Coal,,,,Vattenfall Europe Wrme AG,Open Power System Data,http://data.open-power-system-data.org/,Open Power System Data,,,,,1658.141,1574.767
DEU,Germany,Weiher,WRI1006133,655.6,49.3341,7.0314,Coal,,,1976,STEAG Power Saar GmbH,Open Power System Data,http://data.open-power-system-data.org/,Open Power System Data,,,,,1604.843,3970.834
DEU,Germany,Weisweiler,WRI1006134,1800,50.8392,6.3211,Coal,,,,RWE Power AG,Open Power System Data,http://data.open-power-system-data.org/,Open Power System Data,,,,,14337.11,10902.23
DEU,Germany,Westfalen,WRI1006141,1049,51.6805,7.9696,Coal,,,,RWE Generation SE,Open Power System Data,http://data.open-power-system-data.org/,GEODB,,,,,4904.639,6353.577
DEU,Germany,Wilhelmshaven (Coal),WRI1006143,757,53.5658,8.1462,Coal,,,1976,EON Kraftwerke GmbH,Open Power System Data,http://data.open-power-system-data.org/,Open Power System Data,,,,,3212.419,4584.993
DEU,Germany,Zolling,WRI1006154,528,48.4554,11.7995,Biomass,,,,GDF SUEZ Energie Deutschland AG,Open Power System Data,http://data.open-power-system-data.org/,Open Power System Data,,,,,2018.133,13825.989
GTM,Guatemala,Aguacapa,WRI1061383,90,14.29,-90.505,Hydro,,,,Unknown,Guatemala Energy Data Visualization Center at Universidad Rafael Landivar,http://incyt.org/indicadores/#1495159742418-0490dafa-25d5,Guatemala Energy Data Visualization Center at Universidad Rafael Landivar,,,,,268.5,433.029
GTM,Guatemala,Arizona Vapor,WRI1061414,170,13.96,-90.798,Oil,,,,Unknown,Guatemala Energy Data Visualization Center at Universidad Rafael Landivar,http://incyt.org/indicadores/#1495159742418-0490dafa-25d5,Guatemala Energy Data Visualization Center at Universidad Rafael Landivar,,,,,4.1,261.379
GTM,Guatemala,Candelaria,WRI1061384,4.6,15.4,-89.763,Hydro,,,,Unknown,Guatemala Energy Data Visualization Center at Universidad Rafael Landivar,http://incyt.org/indicadores/#1495159742418-0490dafa-25d5,Guatemala Energy Data Visualization Center at Universidad Rafael Landivar,,,,,27,22.133
GTM,Guatemala,Chixoy,WRI1061386,300,15.28,-90.491,Hydro,,,,Unknown,Guatemala Energy Data Visualization Center at Universidad Rafael Landivar,http://incyt.org/indicadores/#1495159742418-0490dafa-25d5,Guatemala Energy Data Visualization Center at Universidad Rafael Landivar,,,,,1205.4,1443.43
GTM,Guatemala,Choloma,WRI1061387,9.7,15.44,-89.74,Hydro,,,,Unknown,Guatemala Energy Data Visualization Center at Universidad Rafael Landivar,http://incyt.org/indicadores/#1495159742418-0490dafa-25d5,Guatemala Energy Data Visualization Center at Universidad Rafael Landivar,,,,,30.5,46.671
