country,country_long,name,gppd_idnr,capacity_mw,latitude,longitude,fuel1,fuel2,fuel3,fuel4,commissioning_year,owner,source,url,geolocation_source,year_of_capacity_data,generation_gwh_2013,generation_gwh_2014,generation_gwh_2015,generation_gwh_2016,estimated_generation_gwh,Column
AUS,,Australia,Reece,AUS0000141,238,-41.7238,145.1359,Hydro,,,,,Hydro-Electric Corporation (Tasmania),Australian Renewable Energy Mapping Infrastructure,http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer,Australian Renewable Energy Mapping Infrastructure,2012,,,,,539.3678953
AUS,,Australia,Remount,AUS0000115,2.2,-41.395,147.1554,Waste,,,,,LMS Energy Generation Pty Ltd,Australian Renewable Energy Mapping Infrastructure,http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer,Australian Renewable Energy Mapping Infrastructure,2012,,,,,0
AUS,,Australia,Repulse,AUS0000120,28,-42.5077,146.647,Hydro,,,,,Hydro-Electric Corporation (Tasmania),Australian Renewable Energy Mapping Infrastructure,http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer,Australian Renewable Energy Mapping Infrastructure,2012,,,,,63.4550465
AUS,,Australia,Revesby Workers Club,AUS0000317,2.5,-33.9534,151.0137,Oil,,,,,Revesby Workers Club,Australian Renewable Energy Mapping Infrastructure,http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer,Australian Renewable Energy Mapping Infrastructure,2012,,,,,12.19031778
AUS,,Australia,Rochedale,AUS0000073,4.2,-27.5591,153.1236,Waste,,,,,LMS Energy Generation Pty Ltd,Australian Renewable Energy Mapping Infrastructure,http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer,Australian Renewable Energy Mapping Infrastructure,2012,,,,,0
AUS,,Australia,Rockingham,AUS0000358,2.1,-32.2863,115.8154,Waste,,,,,AGL Energy Pty Ltd,Australian Renewable Energy Mapping Infrastructure,http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer,Australian Renewable Energy Mapping Infrastructure,2012,,,,,0
AUS,,Australia,Rocky Point Sugar Sugar Mill,AUS0000060,30,-27.7334,153.3276,Biomass,,,,,Stanwell Corporation Ltd,Australian Renewable Energy Mapping Infrastructure,http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer,Australian Renewable Energy Mapping Infrastructure,2012,,,,,220.3556485
AUS,,Australia,Roghan Road,AUS0000072,1,-27.3388,153.0344,Waste,,,,,Energy Developments LFG (Qld) Pty Ltd,Australian Renewable Energy Mapping Infrastructure,http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer,Australian Renewable Energy Mapping Infrastructure,2012,,,,,0
AUS,,Australia,Roma,AUS0000147,80,-26.5772,148.8402,Gas,,,,,Origin Energy,Australian Renewable Energy Mapping Infrastructure,http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer,Australian Renewable Energy Mapping Infrastructure,2012,,,,,207.8207883
AUS,,Australia,Ron Goodin,AUS0000254,59.6,-23.7091,133.8912,Gas,,,,,NT Power and Water,Australian Renewable Energy Mapping Infrastructure,http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer,Australian Renewable Energy Mapping Infrastructure,2012,,,,,154.8264873
AUS,,Australia,Rowallan,AUS0000129,10.5,-41.7295,146.2176,Hydro,,,,,Hydro-Electric Corporation (Tasmania),Australian Renewable Energy Mapping Infrastructure,http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer,Australian Renewable Energy Mapping Infrastructure,2012,,,,,23.79564244
AUS,,Australia,Rubicon,AUS0000095,9.6,-37.3272,145.8605,Hydro,,,,,AGL Energy Pty Ltd,Australian Renewable Energy Mapping Infrastructure,http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer,Australian Renewable Energy Mapping Infrastructure,2012,,,,,21.75601594
AUS,,Australia,Savannah Nickel Mine,AUS0000407,10.8,-17.3631,128.0331,Oil,,,,,Contract Power,Australian Renewable Energy Mapping Infrastructure,http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer,Australian Renewable Energy Mapping Infrastructure,2012,,,,,52.66217281
AUS,,Australia,Shenton Park WMRC Project,AUS0000328,1,-31.9577,115.7924,Waste,,,,,AnaeCo Ltd,Australian Renewable Energy Mapping Infrastructure,http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer,Australian Renewable Energy Mapping Infrastructure,2012,,,,,0
AUS,,Australia,Shepparton Biogas Generation Plant,AUS0000017,1.1,-36.3218,145.379,Waste,,,,,Diamond Energy Pty Ltd,Australian Renewable Energy Mapping Infrastructure,http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer,Australian Renewable Energy Mapping Infrastructure,2012,,,,,0
AUS,,Australia,Smithfield Energy,AUS0000286,170.9,-33.85,150.9495,Gas,,,,,Marubeni Australia Power Services,Australian Renewable Energy Mapping Infrastructure,http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer,Australian Renewable Energy Mapping Infrastructure,2012,,,,,443.957159
AUS,,Australia,Snowtown Wind Farm Stage 1,AUS0000005,98.7,-33.7215,138.1471,Wind,,,,,TrustPower Ltd,Australian Renewable Energy Mapping Infrastructure,http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer,Australian Renewable Energy Mapping Infrastructure,2012,,,,,237.8984243
