country,country_long,name,gppd_idnr,capacity_mw,latitude,longitude,fuel1,fuel2,fuel3,fuel4,commissioning_year,owner,source,url,geolocation_source,year_of_capacity_data,generation_gwh_2013,generation_gwh_2014,generation_gwh_2015,generation_gwh_2016,estimated_generation_gwh
CHL,Chile,ANTILHUE,CHL0000092,101.3,-39.8009,-73.1852,Oil,,,,,COLBUN S.A.,Energía Abierta,http://energiaabierta.cl/electricidad/,Energía Abierta,2016,,,,,158.2885404
CHL,Chile,ANTUCO,CHL0001006,320,-37.3103,-71.6264,Hydro,,,,,ENDESA,Energía Abierta,http://energiaabierta.cl/electricidad/,Energía Abierta,2016,,,,,1153.148206
CHL,Chile,ATACAMA (CC1-CC2),CHL0000002,767.8,-23.0898,-70.4168,Gas,,,,,GASATACAMA,Energía Abierta,http://energiaabierta.cl/electricidad/,Energía Abierta,2016,,,,,3199.051648
CHL,Chile,CBB-CENTRO,CHL0000095,13.532,-34.8666,-71.1432,Oil,,,,,EQUIPOS GENERACION S.A.,Energía Abierta,http://energiaabierta.cl/electricidad/,Energía Abierta,2016,,,,,21.14472388
CHL,Chile,CENIZAS,CHL0000049,13.9,-27.4809,-70.3897,Oil,,,,,ELECTRICA CENIZAS S.A.,Energía Abierta,http://energiaabierta.cl/electricidad/,Energía Abierta,2016,,,,,21.71975036
CHL,Chile,CHACABUQUITO,CHL0001017,26,-32.8535,-70.5061,Hydro,,,,,COLBUN S.A.,Energía Abierta,http://energiaabierta.cl/electricidad/,Energía Abierta,2016,,,,,93.69329173
CHL,Chile,CHACAYES,CHL0001018,112,-34.2756,-70.4523,Hydro,,,,,PACIFICHYDRO,Energía Abierta,http://energiaabierta.cl/electricidad/,Energía Abierta,2016,,,,,403.6018721
CHL,Chile,CHANARES,CHL0004001,36,-26.3748,-70.0657,Solar,,,,,,Energía Abierta,http://energiaabierta.cl/electricidad/,Energía Abierta,2016,,,,,33.47722735
CHL,Chile,CHAPIQUINA,CHL0001019,10,-18.3695,-69.5469,Hydro,,,,,E-CL S.A.,Energía Abierta,http://energiaabierta.cl/electricidad/,Energía Abierta,2016,,,,,36.03588144
CHL,Chile,CHIBURGO,CHL0001020,19,-35.6615,-71.3551,Hydro,,,,,COLBUN S.A.,Energía Abierta,http://energiaabierta.cl/electricidad/,Energía Abierta,2016,,,,,68.46817473
CHL,Chile,CHILOE,CHL0000082,9,-43.0914,-73.6155,Oil,,,,,ELEKTRAGEN,Energía Abierta,http://energiaabierta.cl/electricidad/,Energía Abierta,2016,,,,,14.06314772
CHL,Chile,CHUFKEN (TRAIGUEN),CHL0000043,1.6,-38.2624,-72.6165,Oil,,,,,SAGESA,Energía Abierta,http://energiaabierta.cl/electricidad/,Energía Abierta,2016,,,,,2.500115149
CHL,Chile,CHUYACA,CHL0000083,11.3,-40.5786,-73.0884,Oil,,,,,SAGESA,Energía Abierta,http://energiaabierta.cl/electricidad/,Energía Abierta,2016,,,,,17.65706324
IND,India,SANGLI VASANTDADA,WRI1019983,12.5,16.881,74.5898,Biomass,,,,,Vasantdada Ssk ltd,Vasantdada Ssk ltd,http://viainfotech.biz/Biomass/theme5/document/green_market/REC-project-list.pdf,WRI,,,,,,297.8789147
IND,India,SANJAY BHABA,IND0000391,120,31.2642,78.4835,Hydro,,,,1989,,Central Electricity Authority,http://www.cea.nic.in/,WRI,2016,533.7976,,0,,
IND,India,SANJAY GANDHI,IND0000392,1340,23.3026,81.0668,Coal,Oil,,,2000,,Central Electricity Authority,http://www.cea.nic.in/,WRI,2016,7307.679,,6483.941,,
IND,India,SANKESHWAR MILL,WRI1019933,26,16.2478,74.5003,Biomass,,,,,Shri Hiranyakeshi ssk,Shri Hiranyakeshi ssk,http://www.belgaum.nic.in/english/Heerasugarfactory.html,WRI,,,,,,619.5881427
IND,India,SANTALDIH,IND0000393,500,23.6013,86.4666,Coal,Oil,,,2009,,Central Electricity Authority,http://www.cea.nic.in/,WRI,2016,2463.44,,3378.12,,
IND,India,SARKARPATHY,IND0000394,30,10.4558,76.8302,Hydro,,,,1966,,Central Electricity Authority,http://www.cea.nic.in/,WRI,2016,137.30005,,78.8836,,
IND,India,SASAN UMPP,IND0000395,3960,23.9784,82.6275,Coal,Oil,,,2013,,Central Electricity Authority,http://www.cea.nic.in/,WRI,2016,2747.91825,,29342,,
IND,India,SATNA CEMENT PLANT,WRI1020009,29,24.5959,80.858,Coal,,,,,Birla Corp ltd,Birla Corp ltd,http://www.birlacorporation.com/,WRI,,,,,,378.6501813
IND,India,SATPURA,IND0000396,1330,22.11,78.173,Coal,Oil,,,1993,,Central Electricity Authority,http://www.cea.nic.in/,WRI,2016,4191.364,,4959.34,,
IND,India,SBT SUGAR,WRI1019984,16,19.6125,74.1924,Biomass,,,,,Sahakarmaharshi Bhausaheb thor,Sahakarmaharshi Bhausaheb thor,http://www.thoratsugar.com/,WRI,,,,,,381.2850109
IND,India,SEIONI TPP,IND0000397,600,22.7355,79.9123,Coal,Oil,,,2016,,Central Electricity Authority,http://www.cea.nic.in/,WRI,2016,,,3.7026,,7834.141681
IND,India,SUGEN CCCP,IND0000428,1147.5,21.3395,72.9889,Gas,,,,2008,,Central Electricity Authority,http://www.cea.nic.in/,WRI,2016,2230,,3516.449,,
IND,India,SURAT LIG.,IND0000430,500,21.397,73.106,Coal,Oil,,,2004,,Central Electricity Authority,http://www.cea.nic.in/,WRI,2016,2617.033,,2697.969,,
IND,India,SURATGARH,IND0000431,1500,29.179,74.0202,Coal,Oil,,,2002,,Central Electricity Authority,http://www.cea.nic.in/,WRI,2016,8556.424,,5282,,
IND,India,SURULIYAR,IND0000432,35,9.62,77.2726,Hydro,,,,1978,,Central Electricity Authority,http://www.cea.nic.in/,WRI,2016,99.94775,,92.0375,,
