"Year" "Jan" "Feb" "Mar" "Apr" "May" "Jun" "Jul" "Aug" "Sep" "Oct" "Nov" "Dec"
1880 -0.73 -0.33 -0.4 -0.58 -0.28 -0.4 -0.4 0.15 -0.41 -0.59 -0.43 -0.45
1881 -0.72 -0.54 -0.29 -0.17 0.06 -1.02 -0.45 -0.17 -0.26 -0.4 -0.45 -0.06
1882 0.18 -0.05 -0.02 -0.53 -0.32 -0.96 -0.65 -0.04 -0.01 -0.24 -0.33 -0.61
1883 -0.62 -0.88 -0.39 -0.25 -0.29 0.52 0.05 -0.08 -0.38 -0.48 -0.62 -0.32
1884 -0.53 -0.27 -0.33 -0.86 -1.12 -0.75 -0.78 0.23 -0.29 -0.69 -0.74 -0.92
1885 -0.86 -0.73 -0.85 -0.8 -0.43 -0.87 -0.56 -0.09 -0.08 0.04 -0.31 0.08
1886 -0.7 -0.76 -0.62 -0.56 -0.48 -0.75 -0.33 -0.66 -0.36 -0.79 -0.43 -0.69
1887 -0.81 -1.21 -0.53 -0.78 -0.8 -0.61 -0.35 -0.18 -0.55 -0.49 -0.85 -0.59
1888 -0.71 -0.78 -0.87 -0.27 -0.73 -0.51 -0.32 -0.3 -0.37 -0.25 -0.04 -0.15
1889 -0.26 0.2 0.1 0.17 0.14 -0.27 -0.37 -0.56 -0.34 -0.15 -0.4 -0.37
1890 -0.57 -0.59 -0.57 -0.47 -0.87 -0.54 -0.52 -0.53 -0.29 -0.23 -0.74 -0.5
1891 -0.91 -1.01 -0.48 -0.62 -0.45 -0.53 -0.67 -0.54 -0.44 -0.5 -0.48 0.08
1892 -0.61 -0.29 -0.57 -0.68 -0.62 -0.52 -0.36 -0.23 -0.45 -0.32 -0.6 -0.59
1893 -1.41 -0.99 -0.58 -0.64 -0.71 -0.64 -0.09 -0.31 -0.21 -0.04 -0.1 -0.35
1894 -0.75 -0.6 -0.39 -0.62 -0.64 -0.46 -0.37 -0.3 -0.39 -0.06 -0.13 -0.15
1895 -0.67 -0.75 -0.48 -0.43 -0.28 -0.26 -0.5 -0.16 -0.11 -0.07 -0.14 -0.07
1896 -0.21 -0.27 -0.5 -0.44 -0.4 -0.43 -0.17 -0.34 -0.07 0.01 -0.41 -0.18
1897 -0.23 -0.46 -0.27 -0.09 -0.23 -0.15 -0.08 -0.28 -0.11 -0.18 0.02 -0.2
1898 -0.11 -0.43 -0.79 -0.56 -0.62 -0.28 -0.33 -0.2 0.02 -0.37 -0.47 -0.19
1899 -0.41 -0.58 -0.35 -0.22 -0.39 -0.52 -0.28 -0.26 0.01 -0.26 0 -0.19
1900 -0.52 -0.04 -0.17 -0.15 -0.16 -0.09 -0.33 -0.15 -0.06 0.17 -0.13 -0.07
1901 -0.22 -0.1 -0.12 -0.06 -0.18 0.04 -0.23 -0.17 0.06 -0.15 -0.13 -0.21
1902 -0.3 -0.03 -0.18 -0.2 -0.31 -0.33 -0.42 -0.49 -0.39 -0.42 -0.48 -0.54
1903 -0.33 -0.13 -0.16 -0.56 -0.45 -0.63 -0.29 -0.4 -0.37 -0.45 -0.44 -0.59
1904 -0.78 -0.74 -0.55 -0.42 -0.62 -0.47 -0.59 -0.47 -0.41 -0.5 -0.24 -0.4
1905 -0.41 -0.96 -0.21 -0.31 -0.33 -0.29 -0.42 -0.25 -0.2 -0.36 -0.07 -0.25
1906 -0.15 -0.3 -0.32 0.06 -0.18 -0.21 -0.19 -0.15 -0.29 -0.17 -0.52 -0.25
1907 -0.48 -0.65 -0.46 -0.59 -0.58 -0.65 -0.41 -0.52 -0.37 -0.31 -0.57 -0.64
1908 -0.36 -0.3 -0.49 -0.44 -0.31 -0.41 -0.37 -0.36 -0.14 -0.37 -0.56 -0.38
1909 -0.76 -0.56 -0.47 -0.59 -0.57 -0.4 -0.32 -0.07 -0.15 -0.14 -0.11 -0.53
1910 -0.43 -0.36 -0.43 -0.26 -0.22 -0.31 -0.2 -0.1 -0.07 -0.27 -0.51 -0.63
1911 -0.65 -0.64 -0.6 -0.51 -0.37 -0.36 -0.14 -0.23 -0.24 -0.16 -0.12 -0.23
1912 -0.16 -0.1 -0.41 -0.28 -0.18 -0.24 -0.48 -0.61 -0.34 -0.45 -0.4 -0.32
1913 -0.44 -0.49 -0.57 -0.29 -0.62 -0.6 -0.21 -0.19 -0.19 -0.28 -0.13 0.07
1914 0.16 -0.03 -0.04 -0.19 -0.02 -0.1 -0.22 -0.07 -0.06 0.14 -0.31 -0.2
1915 -0.16 0.07 -0.09 -0.01 -0.21 -0.21 0.03 -0.19 -0.01 -0.09 0.05 -0.1
1916 -0.06 -0.1 -0.44 -0.28 -0.34 -0.49 -0.36 -0.1 -0.17 -0.14 -0.36 -0.8
1917 -0.52 -0.74 -0.79 -0.53 -0.8 -0.46 0 -0.38 -0.31 -0.49 -0.32 -0.94
1918 -0.62 -0.58 -0.48 -0.55 -0.77 -0.43 -0.48 -0.46 -0.16 0.03 -0.24 -0.34
1919 -0.28 -0.23 -0.1 -0.12 -0.15 -0.16 -0.07 -0.07 -0.18 -0.05 -0.42 -0.28
1920 -0.1 -0.27 -0.16 -0.2 -0.31 -0.37 -0.2 -0.14 -0.15 -0.43 -0.33 -0.47
1921 -0.01 -0.15 -0.11 -0.18 -0.18 -0.09 0.01 -0.46 -0.13 -0.09 -0.27 -0.18
1922 -0.4 -0.46 -0.32 -0.11 -0.37 -0.32 -0.04 -0.24 -0.13 -0.25 -0.11 -0.15
1923 -0.25 -0.21 -0.23 -0.47 -0.32 -0.27 -0.49 -0.36 -0.29 -0.08 -0.02 -0.08
1924 -0.28 -0.42 -0.13 -0.5 -0.27 -0.16 -0.14 -0.16 -0.05 -0.13 -0.06 -0.28
1925 -0.42 -0.35 -0.27 -0.15 -0.33 -0.4 -0.41 -0.08 -0.29 -0.34 -0.01 0.19
1926 0.26 0.28 0.21 -0.11 -0.36 -0.21 -0.16 0.03 0.02 -0.11 0.04 -0.24
1927 -0.18 -0.18 -0.38 -0.34 -0.29 -0.26 -0.04 -0.25 -0.11 0.14 0.12 -0.24
1928 0.06 -0.01 -0.1 -0.07 -0.39 -0.56 -0.06 -0.03 0.02 -0.04 0.09 -0.04
1929 -0.28 -0.51 -0.36 -0.43 -0.41 -0.44 -0.37 -0.36 -0.19 0.02 -0.03 -0.59
1930 -0.22 -0.2 -0.05 -0.22 -0.16 -0.22 -0.2 -0.17 -0.12 -0.27 0.11 -0.07
